region,date,population_20_24,population_25_29,population_30_34,population_35_39,youth_population_20_39,youth_in_migration_20_24,youth_in_migration_25_29,youth_in_migration_30_34,youth_in_migration_35_39,youth_in_migration_20_39,youth_out_migration_20_24,youth_out_migration_25_29,youth_out_migration_30_34,youth_out_migration_35_39,youth_out_migration_20_39,youth_net_migration_20_24,youth_net_migration_25_29,youth_net_migration_30_34,youth_net_migration_35_39,youth_net_migration_20_39,aged_population_ratio_pct,population_65_plus,population_total,employment_insured_persons,employment_acquisitions,employment_losses,employment_net_flow,employment_insured_yoy_pct,year,month,year_month,fund_allocation_million_krw,fund_execution_million_krw,fund_execution_rate,fund_project_count,fund_job_youth_project_count,fund_settlement_service_project_count,fund_job_youth_share,fund_settlement_service_share,is_treated,region_role,post_fund_2022,did_treated_x_post,youth_net_migration_rate_per_1000,youth_in_migration_rate_per_1000,youth_out_migration_rate_per_1000,fund_allocation_per_capita_krw,fund_execution_per_capita_krw
괴산군,2017-01-01,1757.0,1443.0,1376.0,1637.0,6213.0,27.0,28.0,26.0,40.0,121.0,61.0,62.0,56.0,48.0,227.0,-34.0,-34.0,-30.0,-8.0,-106.0,30.0,11610.0,38668.0,6876.0,307.0,365.0,-58.0,,2017,1,2017-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,treatment,0,0,-17.061001126669886,19.475293738934493,36.536294865604376,0.0,0.0
괴산군,2017-02-01,1723.0,1387.0,1371.0,1638.0,6119.0,33.0,18.0,30.0,33.0,114.0,70.0,63.0,40.0,36.0,209.0,-37.0,-45.0,-10.0,-3.0,-95.0,30.3,11653.0,38520.0,7126.0,501.0,245.0,256.0,,2017,2,2017-02,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,treatment,0,0,-15.525412649125673,18.63049517895081,34.15590782807649,0.0,0.0
괴산군,2017-03-01,1719.0,1374.0,1347.0,1640.0,6080.0,37.0,31.0,27.0,25.0,120.0,55.0,50.0,39.0,28.0,172.0,-18.0,-19.0,-12.0,-3.0,-52.0,30.4,11682.0,38481.0,7177.0,421.0,358.0,63.0,,2017,3,2017-03,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,treatment,0,0,-8.552631578947368,19.736842105263158,28.289473684210527,0.0,0.0
괴산군,2017-04-01,1705.0,1385.0,1326.0,1645.0,6061.0,22.0,24.0,26.0,23.0,95.0,34.0,30.0,38.0,22.0,124.0,-12.0,-6.0,-12.0,1.0,-29.0,30.5,11720.0,38425.0,7289.0,457.0,337.0,120.0,,2017,4,2017-04,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,treatment,0,0,-4.784688995215311,15.67398119122257,20.45867018643788,0.0,0.0
괴산군,2017-05-01,1686.0,1387.0,1303.0,1627.0,6003.0,22.0,26.0,14.0,21.0,83.0,36.0,36.0,39.0,29.0,140.0,-14.0,-10.0,-25.0,-8.0,-57.0,30.7,11752.0,38324.0,7265.0,309.0,317.0,-8.0,,2017,5,2017-05,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,treatment,0,0,-9.495252373813093,13.826420123271697,23.32167249708479,0.0,0.0
괴산군,2017-06-01,1663.0,1389.0,1296.0,1631.0,5979.0,12.0,21.0,28.0,18.0,79.0,33.0,32.0,25.0,22.0,112.0,-21.0,-11.0,3.0,-4.0,-33.0,30.7,11770.0,38282.0,7249.0,310.0,352.0,-42.0,,2017,6,2017-06,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,treatment,0,0,-5.5193176116407425,13.212911858170262,18.732229469811006,0.0,0.0
괴산군,2017-07-01,1647.0,1384.0,1297.0,1620.0,5948.0,15.0,20.0,24.0,20.0,79.0,23.0,36.0,23.0,23.0,105.0,-8.0,-16.0,1.0,-3.0,-26.0,30.8,11796.0,38250.0,7301.0,321.0,294.0,27.0,,2017,7,2017-07,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,treatment,0,0,-4.371217215870881,13.2817753866846,17.652992602555482,0.0,0.0
괴산군,2017-08-01,1629.0,1381.0,1289.0,1614.0,5913.0,11.0,18.0,25.0,24.0,78.0,26.0,36.0,26.0,25.0,113.0,-15.0,-18.0,-1.0,-1.0,-35.0,30.9,11796.0,38164.0,7303.0,303.0,310.0,-7.0,,2017,8,2017-08,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,treatment,0,0,-5.919161170302723,13.191273465246068,19.110434635548792,0.0,0.0
괴산군,2017-09-01,1629.0,1374.0,1293.0,1595.0,5891.0,16.0,16.0,24.0,11.0,67.0,28.0,27.0,19.0,25.0,99.0,-12.0,-11.0,5.0,-14.0,-32.0,31.0,11805.0,38136.0,7308.0,323.0,344.0,-21.0,,2017,9,2017-09,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,treatment,0,0,-5.43201493804108,11.37328127652351,16.80529621456459,0.0,0.0
괴산군,2017-10-01,1624.0,1374.0,1294.0,1583.0,5875.0,24.0,19.0,21.0,25.0,89.0,28.0,19.0,21.0,34.0,102.0,-4.0,0.0,0.0,-9.0,-13.0,31.0,11820.0,38083.0,7428.0,327.0,210.0,117.0,,2017,10,2017-10,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,treatment,0,0,-2.2127659574468086,15.148936170212766,17.361702127659573,0.0,0.0
