region,n_months,actual_mean_rate,predicted_mean_rate,mean_error_bias,mae,rmse
음성군,12,0.5521526467623327,-1.761255914796693,2.313408561559026,5.6658449590505375,6.5577243738006326
괴산군,12,-3.0315296697363068,-4.651304822545314,1.6197751528090076,5.271479465423385,6.720883825233409
영동군,12,-4.057427844320609,-4.811463239662287,0.7540353953416785,3.9777890874033353,4.5060374200532705
보은군,12,-4.120401085122468,-4.161978307323081,0.041577222200613294,3.613011703487384,4.259396907042443
단양군,12,-3.514033099542026,-1.9365790848039548,-1.5774540147380716,3.42711655813214,4.533991786462146
진천군,12,-0.1737682492536172,-0.28593356277184984,0.11216531351823271,3.1449198860384864,4.262092609029653
제천시,12,-3.6919036492068376,-1.6971366285744587,-1.9947670206323789,2.88822591727565,3.772578762490195
증평군,12,-1.6206628940381094,0.9003119340173874,-2.520974828055497,2.6763599453242164,3.2768869598868964
옥천군,12,-3.5668970942297293,-2.6622684930904814,-0.9046286011392484,2.024479920147952,2.3681204747949294
충주시,12,-0.25258907252236623,0.21839710861403036,-0.4709861811363966,1.3972616303012646,1.7998334210242408
청주시,12,0.3670227544388442,0.7016024522767389,-0.3345796978378946,0.7961025713721864,0.9724265047861128
